2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CSyncCenter::_MountKLiveDrive() : (null) 	FL:EncryptDisk.cpp(86)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CDriverHelper::HasWriteRights() : (null) 	FL:DriverHelper.cpp(917)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CDriverHelper::HasWriteRights() : hr = 0, UserTime: 0'.15' 	FL:DriverHelper.cpp(917)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CDriverHelper::IsVolumeCompressed() : (null) 	FL:DriverHelper.cpp(881)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CDriverHelper::IsVolumeCompressed() : hr = 0, UserTime: 0'.0' 	FL:DriverHelper.cpp(881)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CDriverHelper::MountVolumeAsDefault : (null) 	FL:DriverHelper.cpp(696)
2013/11/22 10:24:44 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CDriverHelper::MountVolumeAsDefault : hr = 0, UserTime: 0'.390' 	FL:DriverHelper.cpp(696)
2013/11/22 10:24:44 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CSyncCenter::_MountKLiveDrive() : hr = 0, UserTime: 0'.904' 	FL:EncryptDisk.cpp(86)
2013/11/22 10:24:44 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CXLiveController::Mount : UserTime: 0'.904'' 	FL:XLiveController.cpp(123)
2013/11/22 10:24:44 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CXLiveController::StartSync : (null) 	FL:XLiveController.cpp(613)
2013/11/22 10:24:44 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CNetworkMonitor::Init : (null) 	FL:networkmonitor.cpp(49)
2013/11/22 10:24:44 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/22 10:24:44 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/22 10:24:44 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CNetworkMonitor::Init : UserTime: 0'.16'' 	FL:networkmonitor.cpp(49)
2013/11/22 10:24:44 	I 	kuaipan 	000019ec:00001568 	°ó¶¨Â·¾¶ : X:\ 	FL:XLiveController.cpp(622)
2013/11/22 10:24:46 	T 	kuaipan 	000019ec:00001774 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/22 10:24:46 	T 	kuaipan 	000019ec:00001774 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/22 10:24:46 	T 	kuaipan 	000019ec:00001774 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/22 10:24:46 	T 	kuaipan 	000019ec:00001774 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001db8 	[Block IN] 	FL:ShareFileManager.cpp(953)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001db8 	[Block OUT] 	FL:ShareFileManager.cpp(953)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001774 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001774 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CDirectoryChangesMonitor::StartMonitor() : (null) 	FL:DirectoryChangesMonitor.cpp(65)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CDirectoryChangesMonitor::StartMonitor() : hr = 0, UserTime: 0'.0' 	FL:DirectoryChangesMonitor.cpp(65)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CXLiveController::StartSync : UserTime: 2'.808'' 	FL:XLiveController.cpp(613)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001568 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/22 10:24:47 	T 	kuaipan 	000019ec:00001568 	CTraceStack Out,CMainForm::Start : hr = 0, UserTime: 4'.9' 	FL:MainForm.cpp(2148)
2013/11/22 10:24:54 	E 	kuaipan 	000019ec:00001774 	*ASSERT*: m_hTrayWnd && m_hTraybar 	FL:balloontrack.cpp(158)
2013/11/22 10:24:58 	I 	kuaipan 	000019ec:00001774 	path: X:\ 	FL:../xliveshell_hlp.h(324)
2013/11/22 10:25:00 	T 	kuaipan 	000019ec:00001d7c 	[Block IN] 	FL:BridgePanel.cpp(1044)
